Место,Город,1989 г.,ПОД,Год ПОД,Место ПОД,Изм.,Республика,Нынешнее назв.,Запись
1,Москва,8967000,12506468,2018,1,0,Российская СФСР,Москва,Москва 8113 8967 111
2,Ленинград,5024000,5351935,2018,2,0,Российская СФСР,Санкт-Петербург,Ленинград 4588 5024 109
3,Киев,2588000,2934522,2018,3,0,Украинская ССР,Киев,Киев 2133 2588 121
4,Ташкент,2072000,2424100,2017,4,0,Узбекская ССР,Ташкент,Ташкент 1780 2072 116
5,Баку,1759000,2245800,2017,5,0,Азербайджанская ССР,Баку,Баку 1550 1759 114
6,Харьков,1610000,1450082,2018,10,-4,Украинская ССР,Харьков,Харьков 1444 1610 112
7,Минск,1589000,1982444,2018,6,1,Белорусская ССР,Минск,Минск 1262 1589 126
8,Горький,1438000,1264075,2017,11,-3,Российская СФСР,Нижний Новгород,Горький 1344 1438 107
9,Новосибирск,1437000,1602915,2017,8,1,Российская СФСР,Новосибирск,Новосибирск 1312 1437 109
10,Свердловск,1365000,1455904,2017,9,1,Российская СФСР,Екатеринбург,Свердловск 1211 1365 113
11,Тбилиси,1259692,1082400,2016,19,-8,Грузинская ССР,Тбилиси,Тбилиси 1066 1260 118
12,Куйбышев,1254000,1169719,2017,15,-3,Российская СФСР,Самара,Куйбышев 1206 1254 104
13,Ереван,1201500,1075100,2017,20,-7,Армянская ССР,Ереван,Ереван 1019 1202 118
14,Днепропетровск,1177897,1002944,2018,26,-12,Украинская ССР,Днепр,Днепропетровск 1066 1178 110
15,Омск,1149000,1178391,2017,14,1,Российская СФСР,Омск,Омск 1014 1148 113
16,Алма-Ата,1127884,1806833,2018,7,9,Казахская ССР,Алма-Ата,Алма-Ата 910 1128 124
17,Одесса,1115371,1010783,2017,25,-8,Украинская ССР,Одесса,Одесса 1046 1115 107
18,Донецк,1109102,945093,2017,29,-11,Украинская ССР,Донецк,Донецк 1021 1109 109
19,Челябинск,1107000,1198858,2017,13,6,Российская СФСР,Челябинск,Челябинск 1030 1142 111
20,Казань,1094000,1243500,2018,12,8,Российская СФСР,Казань,Казань 993 1094 110
21,Пермь,1091000,1048005,2017,21,0,Российская СФСР,Пермь,Пермь 999 1091 109
22,Уфа,1082000,1115560,2017,17,5,Российская СФСР,Уфа,Уфа 978 1082 111
23,Ростов-на-Дону,1019000,1125299,2017,16,7,Российская СФСР,Ростов-на-Дону,Ростов-на-Дону 934 1019 109
24,Волгоград,999000,1013000,2018,24,0,Российская СФСР,Волгоград,Волгоград 929 999 108
25,Рига,915106,641423,2017,40,-15,Латвийская ССР,Рига,Рига . 835 915 110
26,Саратов,902000,845000,2018,32,-6,Российская СФСР,Саратов,Саратов 856 905 106
27,Запорожье,883909,748984,2017,36,-9,Украинская ССР,Запорожье,Запорожье 781 884 113
28,Воронеж,882000,1048000,2018,22,6,Российская СФСР,Воронеж,Воронеж 783 887 113
29,Красноярск,869000,1091000,2018,18,11,Российская СФСР,Красноярск,Красноярск 796 913 115
30,Львов,790908,727968,2017,37,-7,Украинская ССР,Львов,Львов 667 791 119
31,Кишинёв,722000,820500,2017,34,-3,Молдавская ССР,Кишинёв,Кишинев 503 667 133
32,Кривой Рог,713059,631647,2017,42,-10,Украинская ССР,Кривой Рог,Кривой Рог 650 713 1 1 0
33,Ижевск,635000,648000,2018,39,-6,Российская СФСР,Ижевск,Ижевск 549 635 116
34,Владивосток,631000,605000,2018,47,-13,Российская СФСР,Владивосток,Владивосток 550 634 115
35,Тольятти,629000,708000,2018,38,-3,Российская СФСР,Тольятти,Тольятти 502 631 126
36,Ярославль,629000,609000,2018,46,-10,Российская СФСР,Ярославль,Ярославль 597 633 106
37,Ульяновск,624000,627000,2018,43,-6,Российская СФСР,Ульяновск,Ульяновск 464 625 135
38,Краснодар,619000,900000,2018,31,7,Российская СФСР,Краснодар,Краснодар 560 621 111
39,Караганда,613797,501129,2017,63,-24,Казахская ССР,Караганда,Караганда 572 614 107 '
40,Фрунзе,611000,995900,2017,27,13,Киргизская ССР,Бишкек,Фрунзе 533 616 116
41,Барнаул,599000,633000,2018,41,0,Российская СФСР,Барнаул,Барнаул 535 602 112
42,Хабаровск,598000,618000,2018,45,-3,Российская СФСР,Хабаровск,Хабаровск 528 601 114
43,Душанбе,595820,820600,2017,33,10,Таджикская ССР,Душанбе,Душанбе 494 596 121
44,Новокузнецк,583000,554000,2018,53,-9,Российская СФСР,Новокузнецк,Новокузнецк 541 600 111
45,Вильнюс,576747,546287,2017,54,-9,Литовская ССР,Вильнюс,Вильнюс 481 583 121
46,Иркутск,573000,624000,2018,44,2,Российская СФСР,Иркутск,Иркутск 550 626 114
47,Тула,540000,485000,2017,66,-19,Российская СФСР,Тула,Тула 514 540 105
48,Пенза,522000,524000,2018,60,-12,Российская СФСР,Пенза,Пенза 483 543 112
49,Мариуполь,518933,449498,2017,68,-19,Украинская ССР,Мариуполь,Мариуполь 503 519 103
50,Оренбург,517000,564000,2018,51,-1,Российская СФСР,Оренбург,Оренбург 458 547 119
51,Рязань,512000,539000,2018,55,-4,Российская СФСР,Рязань,Рязань 453 515 114
52,Кемерово,509000,559000,2018,52,0,Российская СФСР,Кемерово,Кемерово 462 520 113
53,Николаев,502776,487996,2016,65,-12,Украинская ССР,Николаев,Николаев 440 503 114
54,Набережные Челны,500000,532000,2018,58,-4,Российская СФСР,Набережные Челны,Набережные Челны 301 500 166
55,Гомель,497500,535693,2018,56,-1,Белорусская ССР,Гомель,Гомель 383 501 131
56,Луганск,496813,433607,2017,73,-17,Украинская ССР,Луганск,Луцк 141 198 140
57,Иваново,481000,406000,2018,80,-23,Российская СФСР,Иваново,Ивано-Франковск 150 214 143
58,Таллин,478974,448052,2017,70,-12,Эстонская ССР,Таллин,Таллинн 430 482 112
59,Астрахань,478000,533000,2018,57,2,Российская СФСР,Астрахань,Астрахань 461 509 110
60,Тюмень,476000,768000,2018,35,25,Российская СФСР,Тюмень,Тюмень 359 477 133
61,Томск,473000,574000,2018,50,11,Российская СФСР,Томск,Томск 421 502 119
62,Мурманск,468000,295000,2018,117,-55,Российская СФСР,Мурманск,Мурманск 381 468 123
63,Брянск,452000,406000,2018,80,-17,Российская СФСР,Брянск,Брянск 394 452 115
64,Калинин,451000,420000,2018,77,-13,Российская СФСР,Тверь,Калинин 412 451 110
65,Липецк,450000,510000,2018,61,4,Российская СФСР,Липецк,Липецк
66,Киров,440000,507000,2018,62,4,Российская СФСР,Киров,Киров 390 440 113
67,Магнитогорск,440000,417000,2018,79,-12,Российская СФСР,Магнитогорск,Магнитогорск 406 440 108
68,Нижний Тагил,440000,354000,2018,92,-24,Российская СФСР,Нижний Тагил,Нижний Тагил 398 440 110
